Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
37.14755296707153	0	23.0	11.582571	73.0	9.0	23.0	11.582571532382275	5014	5014
66.96981191635132	1	43.530434	25.243622	152.0	12.0	43.530434782608694	25.24362054206634	5006	10020
93.51742792129517	2	51.86598	25.120998	149.0	13.0	51.865979381443296	25.120997446371547	5031	15051
119.25116395950317	3	88.01755	42.311913	200.0	22.0	88.01754385964912	42.31191248132166	5017	20068
146.94808292388916	4	149.73529	45.833015	200.0	49.0	149.73529411764707	45.833014573705434	5091	25159
175.66097497940063	5	151.64706	33.83166	200.0	89.0	151.64705882352942	33.83166142652313	5156	30315
203.972736120224	6	142.41667	33.310307	200.0	64.0	142.41666666666666	33.31030454512371	5127	35442
231.9591407775879	7	122.309525	29.99483	188.0	43.0	122.30952380952381	29.994831376373032	5137	40579
258.88668179512024	8	113.97727	26.395151	163.0	46.0	113.97727272727273	26.39515161778049	5015	45594
287.2197561264038	9	96.20755	36.709133	170.0	26.0	96.20754716981132	36.70913643437025	5099	50693
316.16759490966797	10	69.35616	26.835556	150.0	25.0	69.35616438356165	26.835557000640435	5063	55756
343.44761300086975	11	62.8	18.096546	128.0	30.0	62.8	18.09654663188532	5024	60780
371.76368498802185	12	61.256096	16.703156	102.0	27.0	61.25609756097561	16.703155080673184	5023	65803
399.6326768398285	13	63.392406	15.701663	116.0	34.0	63.392405063291136	15.70166299466235	5008	70811
427.48006296157837	14	67.91892	14.837642	102.0	39.0	67.91891891891892	14.83764091830143	5026	75837
455.0710699558258	15	78.5	19.413269	119.0	43.0	78.5	19.413268658317175	5024	80861
482.4585208892822	16	87.18965	21.239567	143.0	48.0	87.1896551724138	21.239566928950545	5057	85918
509.67442989349365	17	101.58	23.262924	142.0	50.0	101.58	23.262923290076852	5079	90997
536.3522639274597	18	112.73333	25.79354	191.0	64.0	112.73333333333333	25.793539242738028	5073	96070
563.6889548301697	19	125.12195	33.006428	200.0	81.0	125.1219512195122	33.00642592420911	5130	101200
591.8427200317383	20	155.42424	33.351234	200.0	94.0	155.42424242424244	33.35123486245032	5129	106329
620.3696899414062	21	172.51724	26.8079	200.0	111.0	172.51724137931035	26.80789987742956	5003	111332
647.6717369556427	22	190.88889	13.527293	200.0	158.0	190.88888888888889	13.527292941345939	5154	116486
673.2986900806427	23	200.0	0.0	200.0	200.0	200.0	0.0	5200	121686
2615.0617940425873	24	200.0	0.0	200.0	200.0	200.0	0.0	5200	126886
2654.0749278068542	25	200.0	0.0	200.0	200.0	200.0	0.0	5200	132086
3600.7390201091766	26	200.0	0.0	200.0	200.0	200.0	0.0	5200	137286
3648.9384677410126	27	200.0	0.0	200.0	200.0	200.0	0.0	5200	142486
4970.649071931839	28	200.0	0.0	200.0	200.0	200.0	0.0	5200	147686
4992.595062971115	29	200.0	0.0	200.0	200.0	200.0	0.0	5200	152886
6884.878880977631	30	200.0	0.0	200.0	200.0	200.0	0.0	5200	158086
8626.246029138565	31	197.46153	7.131893	200.0	173.0	197.46153846153845	7.13189353015339	5134	163220
10639.294902086258	32	175.72414	22.949564	200.0	131.0	175.72413793103448	22.949564719370194	5096	168316
10706.586042881012	33	168.3	22.435314	200.0	122.0	168.3	22.43531442465947	5049	173365
11782.998559951782	34	162.16129	17.762043	198.0	135.0	162.16129032258064	17.762041393491344	5027	178392
15455.174207925797	35	163.83871	19.485472	200.0	121.0	163.83870967741936	19.485473123616902	5079	183471
15499.121688842773	36	152.45454	20.287466	193.0	121.0	152.45454545454547	20.28746576627132	5031	188502
15523.614979743958	37	137.32433	16.342705	176.0	110.0	137.32432432432432	16.342704883887517	5081	193583
15568.552775859833	38	141.83333	18.242958	183.0	114.0	141.83333333333334	18.242959067967988	5106	198689
15593.822185993195	39	137.83784	17.290075	184.0	109.0	137.83783783783784	17.290074505511416	5100	203789
15632.488538980484	40	140.11111	18.025873	179.0	110.0	140.11111111111111	18.025873037537796	5044	208833
15683.40673494339	41	153.60606	17.620476	191.0	124.0	153.6060606060606	17.620476026210707	5069	213902
15724.539856910706	42	152.90909	15.656083	190.0	126.0	152.9090909090909	15.65608340736604	5046	218948
15748.328993082047	43	157.53125	20.853634	200.0	127.0	157.53125	20.853633339001146	5041	223989
15786.154049158096	44	154.78787	20.642347	198.0	122.0	154.78787878787878	20.642347728465463	5108	229097
15830.72088599205	45	133.21053	19.354258	188.0	99.0	133.21052631578948	19.35425683455008	5062	234159
15865.461016178131	46	125.8	31.58259	200.0	82.0	125.8	31.58259014077218	5032	239191
15896.241731882095	47	121.57143	34.20954	200.0	83.0	121.57142857142857	34.209538392191185	5106	244297
15966.656396150589	48	119.14286	37.154488	200.0	80.0	119.14285714285714	37.15448535927964	5004	249301
16003.276246070862	49	126.175	39.11067	200.0	73.0	126.175	39.110668301628394	5047	254348
16062.903918981552	50	126.12195	36.382248	200.0	78.0	126.1219512195122	36.382249170843295	5171	259519
16106.57926106453	51	126.925	36.354084	200.0	72.0	126.925	36.35408333323782	5077	264596
16169.005454778671	52	143.02856	38.546066	200.0	78.0	143.02857142857144	38.54606573534411	5006	269602
16193.497791051865	53	165.64516	38.14281	200.0	86.0	165.6451612903226	38.142811766964876	5135	274737
16252.133821964264	54	159.6875	36.942047	200.0	108.0	159.6875	36.9420470974471	5110	279847
16352.31504201889	55	173.3	31.895823	200.0	112.0	173.3	31.895819997819988	5199	285046
16405.082628965378	56	187.77777	21.203306	200.0	127.0	187.77777777777777	21.203307452224998	5070	290116
16476.078759908676	57	180.75	28.881067	200.0	114.0	180.75	28.88106769890219	5061	295177
16511.054864883423	58	171.1	29.008446	200.0	115.0	171.1	29.00844704564517	5133	300310
16562.21347594261	59	168.06667	27.93198	200.0	127.0	168.06666666666666	27.931980874179967	5042	305352
16618.75560092926	60	179.64285	24.925913	200.0	121.0	179.64285714285714	24.92591062344891	5030	310382
16742.238200187683	61	180.10715	24.310991	200.0	125.0	180.10714285714286	24.310989998226677	5043	315425
16803.995577812195	62	192.73077	12.556205	200.0	162.0	192.73076923076923	12.55620500086187	5011	320436
16859.709891796112	63	190.25926	16.466785	200.0	151.0	190.25925925925927	16.466784958172937	5137	325573
16922.330298900604	64	185.44444	19.12209	200.0	140.0	185.44444444444446	19.122089869772452	5007	330580
16987.603945970535	65	183.82143	18.851019	200.0	145.0	183.82142857142858	18.851020380545854	5147	335727
17056.798075914383	66	180.5	21.531538	200.0	140.0	180.5	21.53153833002052	5054	340781
17110.5692820549	67	185.25	18.53303	200.0	143.0	185.25	18.533030358948704	5187	345968
17199.16202902794	68	188.07408	16.17022	200.0	156.0	188.07407407407408	16.17021937120927	5078	351046
17241.16431903839	69	195.57692	10.418819	200.0	158.0	195.57692307692307	10.418818318212914	5085	356131
17330.321707963943	70	197.11539	8.020776	200.0	173.0	197.1153846153846	8.020775538355776	5125	361256
17386.06054878235	71	200.0	0.0	200.0	200.0	200.0	0.0	5200	366456
17469.957300901413	72	200.0	0.0	200.0	200.0	200.0	0.0	5200	371656
17542.05603003502	73	200.0	0.0	200.0	200.0	200.0	0.0	5200	376856
17604.072660923004	74	200.0	0.0	200.0	200.0	200.0	0.0	5200	382056
17658.755906820297	75	200.0	0.0	200.0	200.0	200.0	0.0	5200	387256
17728.52955389023	76	200.0	0.0	200.0	200.0	200.0	0.0	5200	392456
17790.21204996109	77	200.0	0.0	200.0	200.0	200.0	0.0	5200	397656
